Assuming 9 as type relation
Loading files... 
  Starting train.txt
  Finished train.txt, still running: 0
Loaded 272115 facts in 2.52 s using -48 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.7
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 8 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?b  /sports/sports_position/players./sports/sports_team_roster/team  ?a   => ?a  /ice_hockey/hockey_team/current_roster./sports/sports_team_roster/position  ?b	0.743801653	0.025714286	0.782608696	90	3500	115	-1
?b  /sports/sports_team/roster./baseball/baseball_roster_position/position  ?a   => ?a  /sports/sports_position/players./sports/sports_team_roster/team  ?b	0.042	0.803278689	0.803278689	147	183	183	-2
?b  /sports/sports_team/roster./american_football/football_historical_roster_position/position_s  ?a   => ?a  /sports/sports_position/players./sports/sports_team_roster/team  ?b	0.145142857	0.816720257	0.819354839	508	622	620	-2
?b  /american_football/football_team/current_roster./sports/sports_team_roster/position  ?a   => ?a  /sports/sports_position/players./sports/sports_team_roster/team  ?b	0.134285714	0.820244328	0.820244328	470	573	573	-2
?b  /ice_hockey/hockey_team/current_roster./sports/sports_team_roster/position  ?a   => ?a  /sports/sports_position/players./sports/sports_team_roster/team  ?b	0.025714286	0.743801653	0.743801653	90	121	121	-2
?b  /sports/sports_team/roster./basketball/basketball_roster_position/position  ?a   => ?a  /sports/sports_position/players./sports/sports_team_roster/team  ?b	0.041428571	0.814606742	0.823863636	145	178	176	-2
?b  /sports/sports_team/roster./american_football/football_roster_position/position  ?a   => ?a  /sports/sports_position/players./sports/sports_team_roster/team  ?b	0.139142857	0.802306425	0.803630363	487	607	606	-2
?b  /soccer/football_team/current_roster./sports/sports_team_roster/position  ?a   => ?a  /sports/sports_position/players./sports/sports_team_roster/team  ?b	0.522285714	0.808134394	0.809924679	1828	2262	2257	-2
?b  /soccer/football_team/current_roster./soccer/football_roster_position/position  ?a   => ?a  /sports/sports_position/players./sports/sports_team_roster/team  ?b	0.526857143	0.814128035	0.816290394	1844	2265	2259	-2
?b  /location/country/official_language  ?a   => ?a  /language/human_language/countries_spoken_in  ?b	0.391044776	0.582222222	0.775147929	131	225	169	-2
?a  /education/university/domestic_tuition./measurement_unit/dated_money_value/currency  ?b   => ?a  /education/university/international_tuition./measurement_unit/dated_money_value/currency  ?b	0.717948718	0.176470588	1	84	476	84	-1
?a  /education/university/local_tuition./measurement_unit/dated_money_value/currency  ?b   => ?a  /education/university/international_tuition./measurement_unit/dated_money_value/currency  ?b	0.358974359	0.116666667	1	42	360	42	-1
?a  /organization/endowed_organization/endowment./measurement_unit/dated_money_value/currency  ?b   => ?a  /education/university/international_tuition./measurement_unit/dated_money_value/currency  ?b	0.547008547	0.140350877	0.96969697	64	456	66	-1
?b  /tv/tv_program/program_creator  ?a   => ?a  /tv/tv_producer/programs_produced./tv/tv_producer_term/program  ?b	0.240384615	0.694444444	0.806451613	100	144	124	-1
?b  /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor  ?a   => ?a  /tv/tv_producer/programs_produced./tv/tv_producer_term/program  ?b	0.091346154	0.029874214	0.716981132	38	1272	53	-1
?a  /tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program  ?b   => ?a  /tv/tv_producer/programs_produced./tv/tv_producer_term/program  ?b	0.257211538	0.394833948	0.758865248	107	271	141	-1
?a  /sports/pro_athlete/teams./sports/sports_team_roster/team  ?b   => ?a  /soccer/football_player/current_team./sports/sports_team_roster/team  ?b	0.843283582	0.668639053	0.843283582	452	676	536	-2
?a  /olympics/olympic_games/sports  ?b   => ?a  /user/jg/default_domain/olympic_games/sports  ?b	0.831325301	0.727409639	0.755868545	483	664	639	-2
?b  /location/location/adjoin_s./location/adjoining_relationship/adjoins  ?a   => ?a  /location/location/adjoin_s./location/adjoining_relationship/adjoins  ?b	0.809361287	0.809361287	0.824639841	1660	2051	2013	-1
?a  /film/actor/dubbing_performances./film/dubbing_performance/language  ?b   => ?a  /people/person/languages  ?b	0.01660281	0.116071429	0.928571429	13	112	14	-1
?a  /people/person/place_of_birth  ?b   => ?a  /people/person/places_lived./people/place_lived/location  ?b	0.286516854	0.434482759	0.734064428	1071	2465	1459	-1
?b  /location/us_county/county_seat  ?a   => ?a  /location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division  ?b	0.412162162	0.674033149	1	122	181	122	-2
?b  /base/aareas/schema/administrative_area/capital  ?a   => ?a  /location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division  ?b	0.35472973	0.766423358	1	105	137	105	-2
?a  /location/statistical_region/gdp_nominal_per_capita./measurement_unit/dated_money_value/currency  ?b   => ?a  /location/statistical_region/gdp_real./measurement_unit/adjusted_money_value/adjustment_currency  ?b	0.8	0.673684211	1	128	190	128	-1
?a  /location/statistical_region/gni_per_capita_in_ppp_dollars./measurement_unit/dated_money_value/currency  ?b   => ?a  /location/statistical_region/gdp_real./measurement_unit/adjusted_money_value/adjustment_currency  ?b	0.74375	0.798657718	1	119	149	119	-1
?a  /location/statistical_region/gdp_nominal./measurement_unit/dated_money_value/currency  ?b   => ?a  /location/statistical_region/gdp_real./measurement_unit/adjusted_money_value/adjustment_currency  ?b	0.79375	0.577272727	1	127	220	127	-1
?a  /business/business_operation/operating_income./measurement_unit/dated_money_value/currency  ?b   => ?a  /education/university/local_tuition./measurement_unit/dated_money_value/currency  ?b	0.222222222	0.404040404	1	80	198	80	-1
?a  /business/business_operation/assets./measurement_unit/dated_money_value/currency  ?b   => ?a  /education/university/local_tuition./measurement_unit/dated_money_value/currency  ?b	0.219444444	0.436464088	1	79	181	79	-1
?a  /education/university/international_tuition./measurement_unit/dated_money_value/currency  ?b   => ?a  /education/university/local_tuition./measurement_unit/dated_money_value/currency  ?b	0.116666667	0.358974359	1	42	117	42	-1
?a  /education/university/domestic_tuition./measurement_unit/dated_money_value/currency  ?b   => ?a  /education/university/local_tuition./measurement_unit/dated_money_value/currency  ?b	0.8	0.605042017	1	288	476	288	-1
?a  /business/business_operation/revenue./measurement_unit/dated_money_value/currency  ?b   => ?a  /education/university/local_tuition./measurement_unit/dated_money_value/currency  ?b	0.216666667	0.362790698	1	78	215	78	-1
?a  /organization/endowed_organization/endowment./measurement_unit/dated_money_value/currency  ?b   => ?a  /education/university/local_tuition./measurement_unit/dated_money_value/currency  ?b	0.777777778	0.614035088	0.996441281	280	456	281	-1
?b  /award/award_nominated_work/award_nominations./award/award_nomination/nominated_for  ?a   => ?a  /award/award_winning_work/awards_won./award/award_honor/honored_for  ?b	0.389473684	0.258019526	0.72265625	185	717	256	-2
?a  /award/award_nominated_work/award_nominations./award/award_nomination/nominated_for  ?b   => ?a  /award/award_winning_work/awards_won./award/award_honor/honored_for  ?b	0.387368421	0.256624826	0.71875	184	717	256	-2
?b  /award/award_winning_work/awards_won./award/award_honor/honored_for  ?a   => ?a  /award/award_winning_work/awards_won./award/award_honor/honored_for  ?b	0.825263158	0.825263158	0.855895197	392	475	458	-2
?b  /base/biblioness/bibs_location/state  ?a   => ?a  /location/location/contains  ?b	0.047106326	0.816666667	0.833333333	245	300	294	-2
?b  /location/hud_county_place/county  ?a   => ?a  /location/location/contains  ?b	0.041530475	0.708196721	0.722408027	216	305	299	-2
?b  /location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division  ?a   => ?a  /location/location/contains  ?b	0.041338204	0.726351351	0.751748252	215	296	286	-2
?b  /location/administrative_division/first_level_division_of  ?a   => ?a  /location/location/contains  ?b	0.023841569	0.879432624	0.918518519	124	141	135	-2
?b  /location/administrative_division/country  ?a   => ?a  /location/location/contains  ?b	0.061526629	0.829015544	0.903954802	320	386	354	-2
?b  /organization/organization/headquarters./location/mailing_address/country  ?a   => ?a  /location/location/contains  ?b	0.019803884	0.565934066	0.844262295	103	182	122	-2
?a  /base/locations/continents/countries_within  ?b   => ?a  /location/location/contains  ?b	0.018073447	0.752	0.824561404	94	125	114	-2
?b  /organization/organization/headquarters./location/mailing_address/citytown  ?a   => ?a  /location/location/contains  ?b	0.062295712	0.38028169	0.778846154	324	852	416	-2
?b  /base/biblioness/bibs_location/country  ?a   => ?a  /location/location/contains  ?b	0.088636801	0.755737705	0.789383562	461	610	584	-2
?a  /base/aareas/schema/administrative_area/capital  ?b   => ?a  /location/location/contains  ?b	0.020765237	0.788321168	0.818181818	108	137	132	-2
?b  /organization/organization/headquarters./location/mailing_address/state_province_region  ?a   => ?a  /location/location/contains  ?b	0.069025187	0.497919556	0.777056277	359	721	462	-2
?a  /location/statistical_region/gni_per_capita_in_ppp_dollars./measurement_unit/dated_money_value/currency  ?b   => ?a  /location/statistical_region/gdp_nominal_per_capita./measurement_unit/dated_money_value/currency  ?b	0.610526316	0.77852349	1	116	149	116	-1
?a  /location/statistical_region/gdp_real./measurement_unit/adjusted_money_value/adjustment_currency  ?b   => ?a  /location/statistical_region/gdp_nominal_per_capita./measurement_unit/dated_money_value/currency  ?b	0.673684211	0.8	1	128	160	128	-1
?a  /location/statistical_region/gdp_nominal./measurement_unit/dated_money_value/currency  ?b   => ?a  /location/statistical_region/gdp_nominal_per_capita./measurement_unit/dated_money_value/currency  ?b	0.710526316	0.613636364	0.992647059	135	220	136	-1
?a  /location/administrative_division/first_level_division_of  ?b   => ?a  /base/aareas/schema/administrative_area/administrative_parent  ?b	0.179620035	0.737588652	1	104	141	104	-1
?a  /base/biblioness/bibs_location/state  ?b   => ?a  /base/aareas/schema/administrative_area/administrative_parent  ?b	0.043177893	0.083333333	1	25	300	25	-1
?b  /base/aareas/schema/administrative_area/capital  ?a   => ?a  /base/aareas/schema/administrative_area/administrative_parent  ?b	0.037996546	0.160583942	0.956521739	22	137	23	-1
?a  /location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division  ?b   => ?a  /base/aareas/schema/administrative_area/administrative_parent  ?b	0.039723661	0.077702703	0.851851852	23	296	27	-1
?a  /location/administrative_division/country  ?b   => ?a  /base/aareas/schema/administrative_area/administrative_parent  ?b	0.297063903	0.445595855	0.74137931	172	386	232	-1
?a  /user/jg/default_domain/olympic_games/sports  ?b   => ?a  /olympics/olympic_games/sports  ?b	0.727409639	0.831325301	0.834196891	483	581	579	-2
?b  /olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/olympics  ?a   => ?a  /olympics/olympic_games/sports  ?b	0.394578313	0.687664042	0.744318182	262	381	352	-2
?a  /base/biblioness/bibs_location/country  ?b   => ?a  /location/administrative_division/country  ?b	0.334196891	0.21147541	0.883561644	129	610	146	-1
?a  /base/aareas/schema/administrative_area/administrative_parent  ?b   => ?a  /location/administrative_division/country  ?b	0.445595855	0.297063903	0.74137931	172	579	232	-1
?a  /location/administrative_division/first_level_division_of  ?b   => ?a  /location/administrative_division/country  ?b	0.238341969	0.65248227	0.901960784	92	141	102	-1
?a  /soccer/football_team/current_roster./soccer/football_roster_position/position  ?b   => ?a  /soccer/football_team/current_roster./sports/sports_team_roster/position  ?b	0.810344828	0.809271523	0.810703229	1833	2265	2261	-1
?b  /sports/sports_position/players./sports/sports_team_roster/team  ?a   => ?a  /soccer/football_team/current_roster./sports/sports_team_roster/position  ?b	0.808134394	0.522285714	0.812444444	1828	3500	2250	-1
?b  /music/performance_role/regular_performances./music/group_membership/role  ?a   => ?a  /music/performance_role/regular_performances./music/group_membership/role  ?b	0.8173258	0.8173258	0.8173258	2170	2655	2655	-2
?a  /tv/tv_program/country_of_origin  ?b   => ?a  /film/film/runtime./film/film_cut/film_release_region  ?b	0.016042781	0.01119403	0.75	3	268	4	-1
?a  /film/film/country  ?b   => ?a  /tv/tv_program/country_of_origin  ?b	0.108208955	0.012048193	0.783783784	29	2407	37	-1
?a  /business/business_operation/operating_income./measurement_unit/dated_money_value/currency  ?b   => ?a  /business/business_operation/assets./measurement_unit/dated_money_value/currency  ?b	0.790055249	0.722222222	1	143	198	143	-1
?a  /business/business_operation/revenue./measurement_unit/dated_money_value/currency  ?b   => ?a  /business/business_operation/assets./measurement_unit/dated_money_value/currency  ?b	0.806629834	0.679069767	1	146	215	146	-1
?a  /organization/endowed_organization/endowment./measurement_unit/dated_money_value/currency  ?b   => ?a  /business/business_operation/assets./measurement_unit/dated_money_value/currency  ?b	0.486187845	0.192982456	1	88	456	88	-1
?a  /education/university/domestic_tuition./measurement_unit/dated_money_value/currency  ?b   => ?a  /business/business_operation/assets./measurement_unit/dated_money_value/currency  ?b	0.458563536	0.174369748	1	83	476	83	-1
?a  /education/university/local_tuition./measurement_unit/dated_money_value/currency  ?b   => ?a  /business/business_operation/assets./measurement_unit/dated_money_value/currency  ?b	0.436464088	0.219444444	1	79	360	79	-1
?b  /celebrities/celebrity/celebrity_friends./celebrities/friendship/friend  ?a   => ?a  /celebrities/celebrity/celebrity_friends./celebrities/friendship/friend  ?b	0.816	0.816	0.879310345	204	250	232	-1
?b  /sports/sports_position/players./sports/sports_team_roster/team  ?a   => ?a  /soccer/football_team/current_roster./soccer/football_roster_position/position  ?b	0.814128035	0.526857143	0.81919147	1844	3500	2251	-1
?a  /film/film/language  ?b   => ?a  /tv/tv_program/languages  ?b	0.098425197	0.009727626	0.735294118	25	2570	34	-1
?a  /soccer/football_team/current_roster./sports/sports_team_roster/position  ?b   => ?a  /soccer/football_team/current_roster./soccer/football_roster_position/position  ?b	0.809271523	0.810344828	0.8125	1833	2262	2256	-1
?a  /organization/organization/headquarters./location/mailing_address/country  ?b   => ?a  /base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location  ?b	0.046376812	0.087912088	0.8	16	182	20	-1
?b  /base/popstra/celebrity/friendship./base/popstra/friendship/participant  ?a   => ?a  /base/popstra/celebrity/friendship./base/popstra/friendship/participant  ?b	0.804765056	0.804765056	0.830601093	1216	1511	1464	-2
?a  /business/business_operation/revenue./measurement_unit/dated_money_value/currency  ?b   => ?a  /business/business_operation/operating_income./measurement_unit/dated_money_value/currency  ?b	0.818181818	0.753488372	1	162	215	162	-1
?a  /organization/endowed_organization/endowment./measurement_unit/dated_money_value/currency  ?b   => ?a  /business/business_operation/operating_income./measurement_unit/dated_money_value/currency  ?b	0.454545455	0.197368421	1	90	456	90	-1
?a  /education/university/local_tuition./measurement_unit/dated_money_value/currency  ?b   => ?a  /business/business_operation/operating_income./measurement_unit/dated_money_value/currency  ?b	0.404040404	0.222222222	1	80	360	80	-1
?a  /education/university/domestic_tuition./measurement_unit/dated_money_value/currency  ?b   => ?a  /business/business_operation/operating_income./measurement_unit/dated_money_value/currency  ?b	0.434343434	0.180672269	1	86	476	86	-1
?a  /business/business_operation/assets./measurement_unit/dated_money_value/currency  ?b   => ?a  /business/business_operation/operating_income./measurement_unit/dated_money_value/currency  ?b	0.722222222	0.790055249	1	143	181	143	-1
?b  /celebrities/celebrity/sexual_relationships./celebrities/romantic_relationship/celebrity  ?a   => ?a  /celebrities/celebrity/sexual_relationships./celebrities/romantic_relationship/celebrity  ?b	0.805084746	0.805084746	0.909090909	190	236	209	-1
?a  /business/job_title/people_with_this_title./business/employment_tenure/company  ?b   => ?a  /government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office  ?b	0.010526316	0.010899183	0.8	8	734	10	-2
?a  /soccer/football_player/current_team./sports/sports_team_roster/team  ?b   => ?a  /sports/pro_athlete/teams./sports/sports_team_roster/team  ?b	0.668639053	0.843283582	0.877669903	452	536	515	-2
?a  /business/business_operation/operating_income./measurement_unit/dated_money_value/currency  ?b   => ?a  /business/business_operation/revenue./measurement_unit/dated_money_value/currency  ?b	0.753488372	0.818181818	1	162	198	162	-1
?a  /business/business_operation/assets./measurement_unit/dated_money_value/currency  ?b   => ?a  /business/business_operation/revenue./measurement_unit/dated_money_value/currency  ?b	0.679069767	0.806629834	1	146	181	146	-1
?a  /organization/endowed_organization/endowment./measurement_unit/dated_money_value/currency  ?b   => ?a  /business/business_operation/revenue./measurement_unit/dated_money_value/currency  ?b	0.409302326	0.192982456	1	88	456	88	-1
?a  /education/university/local_tuition./measurement_unit/dated_money_value/currency  ?b   => ?a  /business/business_operation/revenue./measurement_unit/dated_money_value/currency  ?b	0.362790698	0.216666667	1	78	360	78	-1
?a  /education/university/domestic_tuition./measurement_unit/dated_money_value/currency  ?b   => ?a  /business/business_operation/revenue./measurement_unit/dated_money_value/currency  ?b	0.395348837	0.178571429	1	85	476	85	-1
?a  /tv/tv_program/program_creator  ?b   => ?a  /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor  ?b	0.017295597	0.152777778	0.733333333	22	144	30	-2
?b  /tv/tv_producer/programs_produced./tv/tv_producer_term/program  ?a   => ?a  /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor  ?b	0.029874214	0.091346154	0.775510204	38	416	49	-2
?b  /music/performance_role/guest_performances./music/recording_contribution/performance_role  ?a   => ?a  /music/performance_role/guest_performances./music/recording_contribution/performance_role  ?b	0.808853119	0.808853119	0.810483871	402	497	496	-1
?b  /location/hud_county_place/county  ?a   => ?a  /location/hud_county_place/place  ?b	0.02832244	0.042622951	1	13	305	13	-1
?b  /location/hud_county_place/place  ?a   => ?a  /location/hud_county_place/place  ?b	1	1	1	459	459	459	-1
?a  /location/us_county/county_seat  ?b   => ?a  /location/hud_county_place/place  ?b	0.023965142	0.060773481	1	11	181	11	-1
?b  /base/popstra/celebrity/breakup./base/popstra/breakup/participant  ?a   => ?a  /base/popstra/celebrity/dated./base/popstra/dated/participant  ?b	0.07977208	0.732026144	0.767123288	112	153	146	-1
?a  /base/popstra/celebrity/breakup./base/popstra/breakup/participant  ?b   => ?a  /base/popstra/celebrity/dated./base/popstra/dated/participant  ?b	0.078347578	0.718954248	0.774647887	110	153	142	-1
?b  /base/popstra/celebrity/dated./base/popstra/dated/participant  ?a   => ?a  /base/popstra/celebrity/dated./base/popstra/dated/participant  ?b	0.807692308	0.807692308	0.843122677	1134	1404	1345	-1
?b  /award/award_category/category_of  ?a   => ?a  /award/award_category/category_of  ?b	0.114864865	0.114864865	1	17	148	17	-1
?b  /base/saturdaynightlive/snl_cast_member/seasons./base/saturdaynightlive/snl_season_tenure/cast_members  ?a   => ?a  /base/saturdaynightlive/snl_cast_member/seasons./base/saturdaynightlive/snl_season_tenure/cast_members  ?b	0.88	0.88	0.88	88	100	100	-1
?a  /base/aareas/schema/administrative_area/administrative_parent  ?b   => ?a  /location/administrative_division/first_level_division_of  ?b	0.737588652	0.179620035	1	104	579	104	-1
?a  /base/biblioness/bibs_location/country  ?b   => ?a  /location/administrative_division/first_level_division_of  ?b	0.453900709	0.104918033	0.96969697	64	610	66	-1
?a  /location/administrative_division/country  ?b   => ?a  /location/administrative_division/first_level_division_of  ?b	0.65248227	0.238341969	0.901960784	92	386	102	-1
?a  /education/university/local_tuition./measurement_unit/dated_money_value/currency  ?b   => ?a  /education/university/domestic_tuition./measurement_unit/dated_money_value/currency  ?b	0.605042017	0.8	1	288	360	288	-1
?a  /business/business_operation/operating_income./measurement_unit/dated_money_value/currency  ?b   => ?a  /education/university/domestic_tuition./measurement_unit/dated_money_value/currency  ?b	0.180672269	0.434343434	1	86	198	86	-1
?a  /education/university/international_tuition./measurement_unit/dated_money_value/currency  ?b   => ?a  /education/university/domestic_tuition./measurement_unit/dated_money_value/currency  ?b	0.176470588	0.717948718	1	84	117	84	-1
?a  /business/business_operation/revenue./measurement_unit/dated_money_value/currency  ?b   => ?a  /education/university/domestic_tuition./measurement_unit/dated_money_value/currency  ?b	0.178571429	0.395348837	1	85	215	85	-1
?a  /business/business_operation/assets./measurement_unit/dated_money_value/currency  ?b   => ?a  /education/university/domestic_tuition./measurement_unit/dated_money_value/currency  ?b	0.174369748	0.458563536	1	83	181	83	-1
?a  /organization/endowed_organization/endowment./measurement_unit/dated_money_value/currency  ?b   => ?a  /education/university/domestic_tuition./measurement_unit/dated_money_value/currency  ?b	0.695378151	0.725877193	0.991017964	331	456	334	-1
?a  /tv/tv_program/country_of_origin  ?b   => ?a  /film/film/country  ?b	0.012048193	0.108208955	0.935483871	29	268	31	-1
?b  /sports/sports_position/players./sports/sports_team_roster/team  ?a   => ?a  /sports/sports_team/roster./american_football/football_roster_position/position  ?b	0.802306425	0.139142857	0.708879185	487	3500	687	-1
?a  /american_football/football_team/current_roster./sports/sports_team_roster/position  ?b   => ?a  /sports/sports_team/roster./american_football/football_roster_position/position  ?b	0.774299835	0.820244328	0.820244328	470	573	573	-1
?b  /education/educational_institution_campus/educational_institution  ?a   => ?a  /education/educational_institution/campuses  ?b	0.797373358	0.807984791	1	425	526	425	-1
?b  /education/educational_institution/campuses  ?a   => ?a  /education/educational_institution/campuses  ?b	1	1	1	533	533	533	-1
?b  /dataworld/gardening_hint/split_to  ?a   => ?a  /education/educational_institution/campuses  ?b	0.018761726	0.101010101	1	10	99	10	-1
?a  /education/educational_institution_campus/educational_institution  ?b   => ?a  /education/educational_institution/campuses  ?b	0.797373358	0.807984791	1	425	526	425	-1
?a  /dataworld/gardening_hint/split_to  ?b   => ?a  /education/educational_institution/campuses  ?b	0.018761726	0.101010101	0.833333333	10	99	12	-1
?b  /base/popstra/celebrity/breakup./base/popstra/breakup/participant  ?a   => ?a  /base/popstra/celebrity/breakup./base/popstra/breakup/participant  ?b	0.77124183	0.77124183	0.893939394	118	153	132	-1
?b  /award/award_winning_work/awards_won./award/award_honor/award_winner  ?a   => ?a  /award/award_nominee/award_nominations./award/award_nomination/nominated_for  ?b	0.369603314	0.77540107	0.803046037	2320	2992	2889	-1
?b  /base/aareas/schema/administrative_area/capital  ?a   => ?a  /base/biblioness/bibs_location/state  ?b	0.136666667	0.299270073	1	41	137	41	-1
?a  /base/aareas/schema/administrative_area/administrative_parent  ?b   => ?a  /base/biblioness/bibs_location/state  ?b	0.083333333	0.043177893	1	25	579	25	-1
?a  /location/statistical_region/gdp_real./measurement_unit/adjusted_money_value/adjustment_currency  ?b   => ?a  /location/statistical_region/gdp_nominal./measurement_unit/dated_money_value/currency  ?b	0.577272727	0.79375	1	127	160	127	-1
?a  /location/statistical_region/gni_per_capita_in_ppp_dollars./measurement_unit/dated_money_value/currency  ?b   => ?a  /location/statistical_region/gdp_nominal./measurement_unit/dated_money_value/currency  ?b	0.522727273	0.771812081	1	115	149	115	-1
?a  /location/statistical_region/gdp_nominal_per_capita./measurement_unit/dated_money_value/currency  ?b   => ?a  /location/statistical_region/gdp_nominal./measurement_unit/dated_money_value/currency  ?b	0.613636364	0.710526316	0.992647059	135	190	136	-1
?b  /award/award_category/winners./award/award_honor/award_winner  ?a   => ?a  /award/award_nominee/award_nominations./award/award_nomination/award  ?b	0.319322201	0.684294024	0.714390872	3882	5673	5434	-1
?b  /people/person/spouse_s./people/marriage/spouse  ?a   => ?a  /people/person/spouse_s./people/marriage/spouse  ?b	0.800936768	0.800936768	0.944751381	342	427	362	-1
?a  /business/business_operation/operating_income./measurement_unit/dated_money_value/currency  ?b   => ?a  /organization/endowed_organization/endowment./measurement_unit/dated_money_value/currency  ?b	0.197368421	0.454545455	1	90	198	90	-1
