Assuming 9 as type relation
Loading files... 
  Starting train.txt
  Finished train.txt, still running: 0
Loaded 272115 facts in 2.61 s using -48 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
Filtering on standard confidence with minimum threshold 0.7
Filtering on PCA confidence with minimum threshold 0.1
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 8 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?b  /celebrities/celebrity/celebrity_friends./celebrities/friendship/friend  ?a   => ?a  /celebrities/celebrity/celebrity_friends./celebrities/friendship/friend  ?b	0.816	0.816	0.879310345	204	250	232	-1
?a  /soccer/football_player/current_team./sports/sports_team_roster/team  ?b   => ?a  /sports/pro_athlete/teams./sports/sports_team_roster/team  ?b	0.668639053	0.843283582	0.877669903	452	536	515	-2
?a  /business/business_operation/revenue./measurement_unit/dated_money_value/currency  ?b   => ?a  /business/business_operation/operating_income./measurement_unit/dated_money_value/currency  ?b	0.818181818	0.753488372	1	162	215	162	-1
?a  /business/business_operation/assets./measurement_unit/dated_money_value/currency  ?b   => ?a  /business/business_operation/operating_income./measurement_unit/dated_money_value/currency  ?b	0.722222222	0.790055249	1	143	181	143	-1
?b  /base/popstra/celebrity/breakup./base/popstra/breakup/participant  ?a   => ?a  /base/popstra/celebrity/dated./base/popstra/dated/participant  ?b	0.07977208	0.732026144	0.767123288	112	153	146	-1
?a  /base/popstra/celebrity/breakup./base/popstra/breakup/participant  ?b   => ?a  /base/popstra/celebrity/dated./base/popstra/dated/participant  ?b	0.078347578	0.718954248	0.774647887	110	153	142	-1
?b  /base/popstra/celebrity/dated./base/popstra/dated/participant  ?a   => ?a  /base/popstra/celebrity/dated./base/popstra/dated/participant  ?b	0.807692308	0.807692308	0.843122677	1134	1404	1345	-1
?b  /celebrities/celebrity/sexual_relationships./celebrities/romantic_relationship/celebrity  ?a   => ?a  /celebrities/celebrity/sexual_relationships./celebrities/romantic_relationship/celebrity  ?b	0.805084746	0.805084746	0.909090909	190	236	209	-1
?a  /business/business_operation/operating_income./measurement_unit/dated_money_value/currency  ?b   => ?a  /business/business_operation/revenue./measurement_unit/dated_money_value/currency  ?b	0.753488372	0.818181818	1	162	198	162	-1
?a  /business/business_operation/assets./measurement_unit/dated_money_value/currency  ?b   => ?a  /business/business_operation/revenue./measurement_unit/dated_money_value/currency  ?b	0.679069767	0.806629834	1	146	181	146	-1
?b  /music/performance_role/guest_performances./music/recording_contribution/performance_role  ?a   => ?a  /music/performance_role/guest_performances./music/recording_contribution/performance_role  ?b	0.808853119	0.808853119	0.810483871	402	497	496	-1
?b  /location/hud_county_place/place  ?a   => ?a  /location/hud_county_place/place  ?b	1	1	1	459	459	459	-1
?b  /base/saturdaynightlive/snl_cast_member/seasons./base/saturdaynightlive/snl_season_tenure/cast_members  ?a   => ?a  /base/saturdaynightlive/snl_cast_member/seasons./base/saturdaynightlive/snl_season_tenure/cast_members  ?b	0.88	0.88	0.88	88	100	100	-1
?a  /education/university/international_tuition./measurement_unit/dated_money_value/currency  ?b   => ?a  /education/university/domestic_tuition./measurement_unit/dated_money_value/currency  ?b	0.176470588	0.717948718	1	84	117	84	-1
?a  /education/university/local_tuition./measurement_unit/dated_money_value/currency  ?b   => ?a  /education/university/domestic_tuition./measurement_unit/dated_money_value/currency  ?b	0.605042017	0.8	1	288	360	288	-1
?a  /organization/endowed_organization/endowment./measurement_unit/dated_money_value/currency  ?b   => ?a  /education/university/domestic_tuition./measurement_unit/dated_money_value/currency  ?b	0.695378151	0.725877193	0.991017964	331	456	334	-1
?a  /american_football/football_team/current_roster./sports/sports_team_roster/position  ?b   => ?a  /sports/sports_team/roster./american_football/football_roster_position/position  ?b	0.774299835	0.820244328	0.820244328	470	573	573	-1
?b  /education/educational_institution/campuses  ?a   => ?a  /education/educational_institution/campuses  ?b	1	1	1	533	533	533	-1
?b  /education/educational_institution_campus/educational_institution  ?a   => ?a  /education/educational_institution/campuses  ?b	0.797373358	0.807984791	1	425	526	425	-1
?a  /education/educational_institution_campus/educational_institution  ?b   => ?a  /education/educational_institution/campuses  ?b	0.797373358	0.807984791	1	425	526	425	-1
?b  /base/popstra/celebrity/breakup./base/popstra/breakup/participant  ?a   => ?a  /base/popstra/celebrity/breakup./base/popstra/breakup/participant  ?b	0.77124183	0.77124183	0.893939394	118	153	132	-1
?a  /award/award_winner/awards_won./award/award_honor/award_winner  ?b   => ?a  /award/award_nominee/award_nominations./award/award_nomination/award_nominee  ?b	0.391644255	0.743440579	0.76384484	6262	8423	8198	-2
?b  /award/award_winner/awards_won./award/award_honor/award_winner  ?a   => ?a  /award/award_nominee/award_nominations./award/award_nomination/award_nominee  ?b	0.392269685	0.744627805	0.765718471	6272	8423	8191	-2
?b  /award/award_nominee/award_nominations./award/award_nomination/award_nominee  ?a   => ?a  /award/award_nominee/award_nominations./award/award_nomination/award_nominee  ?b	0.809931828	0.809931828	0.814106997	12950	15989	15907	-2
?a  /location/statistical_region/gdp_real./measurement_unit/adjusted_money_value/adjustment_currency  ?b   => ?a  /location/statistical_region/gdp_nominal./measurement_unit/dated_money_value/currency  ?b	0.577272727	0.79375	1	127	160	127	-1
?a  /location/statistical_region/gni_per_capita_in_ppp_dollars./measurement_unit/dated_money_value/currency  ?b   => ?a  /location/statistical_region/gdp_nominal./measurement_unit/dated_money_value/currency  ?b	0.522727273	0.771812081	1	115	149	115	-1
?a  /location/statistical_region/gdp_nominal_per_capita./measurement_unit/dated_money_value/currency  ?b   => ?a  /location/statistical_region/gdp_nominal./measurement_unit/dated_money_value/currency  ?b	0.613636364	0.710526316	0.992647059	135	190	136	-1
?b  /award/award_winning_work/awards_won./award/award_honor/award_winner  ?a   => ?a  /award/award_nominee/award_nominations./award/award_nomination/nominated_for  ?b	0.369603314	0.77540107	0.803046037	2320	2992	2889	-1
?b  /people/person/spouse_s./people/marriage/spouse  ?a   => ?a  /people/person/spouse_s./people/marriage/spouse  ?b	0.800936768	0.800936768	0.944751381	342	427	362	-1
?a  /education/university/local_tuition./measurement_unit/dated_money_value/currency  ?b   => ?a  /organization/endowed_organization/endowment./measurement_unit/dated_money_value/currency  ?b	0.614035088	0.777777778	0.996441281	280	360	281	-1
?a  /location/statistical_region/gdp_real./measurement_unit/adjusted_money_value/adjustment_currency  ?b   => ?a  /location/statistical_region/gni_per_capita_in_ppp_dollars./measurement_unit/dated_money_value/currency  ?b	0.798657718	0.74375	1	119	160	119	-1
?b  /education/educational_institution/campuses  ?a   => ?a  /education/educational_institution_campus/educational_institution  ?b	0.807984791	0.797373358	1	425	533	425	-1
?b  /education/educational_institution_campus/educational_institution  ?a   => ?a  /education/educational_institution_campus/educational_institution  ?b	1	1	1	526	526	526	-1
?a  /education/educational_institution/campuses  ?b   => ?a  /education/educational_institution_campus/educational_institution  ?b	0.807984791	0.797373358	1	425	533	425	-1
?b  /sports/sports_position/players./american_football/football_historical_roster_position/position_s  ?a   => ?a  /sports/sports_position/players./american_football/football_historical_roster_position/position_s  ?b	0.764705882	0.764705882	0.764705882	78	102	102	-1
?b  /military/military_combatant/military_conflicts./military/military_combatant_group/combatants  ?a   => ?a  /military/military_combatant/military_conflicts./military/military_combatant_group/combatants  ?b	0.829986613	0.829986613	0.832214765	620	747	745	-2
?b  /award/award_winner/awards_won./award/award_honor/award_winner  ?a   => ?a  /award/award_winner/awards_won./award/award_honor/award_winner  ?b	0.814436662	0.814436662	0.820868733	6860	8423	8357	-2
?a  /dataworld/gardening_hint/split_to  ?h  ?h  /film/film/distributors./film/film_film_distributor_relationship/film_distribution_medium  ?b   => ?a  /film/film/distributors./film/film_film_distributor_relationship/film_distribution_medium  ?b	0.014035088	1	1	4	4	4	-1
?b  /influence/influence_node/peers./influence/peer_relationship/peers  ?a  ?b  /people/person/sibling_s./people/sibling_relationship/sibling  ?a   => ?a  /influence/influence_node/peers./influence/peer_relationship/peers  ?b	0.012048193	1	1	2	2	2	-2
?b  /base/popstra/celebrity/friendship./base/popstra/friendship/participant  ?a  ?b  /influence/influence_node/peers./influence/peer_relationship/peers  ?a   => ?a  /influence/influence_node/peers./influence/peer_relationship/peers  ?b	0.036144578	1	1	6	6	6	-2
?a  /influence/influence_node/influenced_by  ?b  ?b  /influence/influence_node/peers./influence/peer_relationship/peers  ?a   => ?a  /influence/influence_node/peers./influence/peer_relationship/peers  ?b	0.114457831	0.730769231	0.863636364	19	26	22	-2
?a  /base/popstra/celebrity/friendship./base/popstra/friendship/participant  ?b  ?b  /influence/influence_node/peers./influence/peer_relationship/peers  ?a   => ?a  /influence/influence_node/peers./influence/peer_relationship/peers  ?b	0.036144578	1	1	6	6	6	-2
?a  /film/film/edited_by  ?h  ?b  /people/person/sibling_s./people/sibling_relationship/sibling  ?h   => ?a  /film/film/edited_by  ?b	0.067039106	0.75	0.75	12	16	16	-1
?b  /influence/influence_node/peers./influence/peer_relationship/peers  ?a  ?a  /people/person/sibling_s./people/sibling_relationship/sibling  ?b   => ?a  /influence/influence_node/peers./influence/peer_relationship/peers  ?b	0.012048193	1	1	2	2	2	-2
?a  /film/film/edited_by  ?h  ?h  /people/person/sibling_s./people/sibling_relationship/sibling  ?b   => ?a  /film/film/edited_by  ?b	0.067039106	0.75	0.75	12	16	16	-1
?b  /dataworld/gardening_hint/split_to  ?h  ?a  /organization/organization/headquarters./location/mailing_address/country  ?h   => ?a  /organization/organization/headquarters./location/mailing_address/country  ?b	0.972527473	1	1	177	177	177	-1
?h  /dataworld/gardening_hint/split_to  ?b  ?a  /organization/organization/headquarters./location/mailing_address/country  ?h   => ?a  /organization/organization/headquarters./location/mailing_address/country  ?b	0.972527473	1	1	177	177	177	-1
?a  /education/educational_institution_campus/educational_institution  ?h  ?h  /organization/organization/headquarters./location/mailing_address/country  ?b   => ?a  /organization/organization/headquarters./location/mailing_address/country  ?b	0.494505495	1	1	90	90	90	-1
?a  /education/educational_institution/campuses  ?h  ?h  /organization/organization/headquarters./location/mailing_address/country  ?b   => ?a  /organization/organization/headquarters./location/mailing_address/country  ?b	0.494505495	1	1	90	90	90	-1
?g  /education/educational_institution/campuses  ?a  ?g  /organization/organization/headquarters./location/mailing_address/country  ?b   => ?a  /organization/organization/headquarters./location/mailing_address/country  ?b	0.494505495	1	1	90	90	90	-1
?g  /education/educational_institution_campus/educational_institution  ?a  ?g  /organization/organization/headquarters./location/mailing_address/country  ?b   => ?a  /organization/organization/headquarters./location/mailing_address/country  ?b	0.494505495	1	1	90	90	90	-1
?g  /organization/organization/headquarters./location/mailing_address/country  ?b  ?g  /organization/organization_member/member_of./organization/organization_membership/organization  ?a   => ?a  /organization/organization/headquarters./location/mailing_address/country  ?b	0.010989011	1	1	2	2	2	-1
?b  /influence/influence_node/peers./influence/peer_relationship/peers  ?a  ?b  /people/person/sibling_s./people/sibling_relationship/sibling  ?a   => ?a  /people/person/sibling_s./people/sibling_relationship/sibling  ?b	0.015267176	1	1	2	2	2	-2
?b  /award/award_winner/awards_won./award/award_honor/award_winner  ?a  ?b  /people/person/sibling_s./people/sibling_relationship/sibling  ?a   => ?a  /people/person/sibling_s./people/sibling_relationship/sibling  ?b	0.129770992	0.894736842	1	17	19	17	-2
?b  /base/popstra/celebrity/friendship./base/popstra/friendship/participant  ?a  ?b  /people/person/sibling_s./people/sibling_relationship/sibling  ?a   => ?a  /people/person/sibling_s./people/sibling_relationship/sibling  ?b	0.030534351	0.8	1	4	5	4	-2
?a  /award/award_nominee/award_nominations./award/award_nomination/award_nominee  ?b  ?b  /people/person/sibling_s./people/sibling_relationship/sibling  ?a   => ?a  /people/person/sibling_s./people/sibling_relationship/sibling  ?b	0.145038168	0.904761905	1	19	21	19	-2
?a  /award/award_winner/awards_won./award/award_honor/award_winner  ?b  ?b  /people/person/sibling_s./people/sibling_relationship/sibling  ?a   => ?a  /people/person/sibling_s./people/sibling_relationship/sibling  ?b	0.129770992	0.944444444	1	17	18	17	-2
?a  /base/popstra/celebrity/friendship./base/popstra/friendship/participant  ?b  ?b  /people/person/sibling_s./people/sibling_relationship/sibling  ?a   => ?a  /people/person/sibling_s./people/sibling_relationship/sibling  ?b	0.030534351	0.8	1	4	5	4	-2
?a  /influence/influence_node/peers./influence/peer_relationship/peers  ?b  ?b  /people/person/sibling_s./people/sibling_relationship/sibling  ?a   => ?a  /people/person/sibling_s./people/sibling_relationship/sibling  ?b	0.015267176	1	1	2	2	2	-2
?g  /dataworld/gardening_hint/split_to  ?a  ?g  /education/educational_degree/people_with_this_degree./education/education/student  ?b   => ?a  /education/educational_degree/people_with_this_degree./education/education/student  ?b	0.011538462	1	1	3	3	3	-2
?a  /dataworld/gardening_hint/split_to  ?h  ?h  /education/educational_degree/people_with_this_degree./education/education/student  ?b   => ?a  /education/educational_degree/people_with_this_degree./education/education/student  ?b	0.011538462	1	1	3	3	3	-2
?g  /education/educational_institution/campuses  ?a  ?g  /education/educational_institution/colors  ?b   => ?a  /education/educational_institution/colors  ?b	0.73364486	1	1	628	628	628	-1
?h  /education/educational_institution/colors  ?b  ?a  /education/educational_institution_campus/educational_institution  ?h   => ?a  /education/educational_institution/colors  ?b	0.718457944	1	1	615	615	615	-1
?a  /education/educational_institution/campuses  ?h  ?h  /education/educational_institution/colors  ?b   => ?a  /education/educational_institution/colors  ?b	0.73364486	1	1	628	628	628	-1
?g  /education/educational_institution/colors  ?b  ?g  /education/educational_institution_campus/educational_institution  ?a   => ?a  /education/educational_institution/colors  ?b	0.718457944	1	1	615	615	615	-1
?h  /location/hud_county_place/place  ?b  ?a  /organization/organization/headquarters./location/mailing_address/state_province_region  ?h   => ?a  /organization/organization/headquarters./location/mailing_address/state_province_region  ?b	0.0110957	1	1	8	8	8	-1
?a  /education/educational_institution_campus/educational_institution  ?h  ?h  /organization/organization/headquarters./location/mailing_address/state_province_region  ?b   => ?a  /organization/organization/headquarters./location/mailing_address/state_province_region  ?b	0.509015257	1	1	367	367	367	-1
?a  /education/educational_institution/campuses  ?h  ?h  /organization/organization/headquarters./location/mailing_address/state_province_region  ?b   => ?a  /organization/organization/headquarters./location/mailing_address/state_province_region  ?b	0.518723994	1	1	374	374	374	-1
?b  /location/hud_county_place/place  ?h  ?a  /organization/organization/headquarters./location/mailing_address/state_province_region  ?h   => ?a  /organization/organization/headquarters./location/mailing_address/state_province_region  ?b	0.0110957	1	1	8	8	8	-1
?g  /education/educational_institution/campuses  ?a  ?g  /organization/organization/headquarters./location/mailing_address/state_province_region  ?b   => ?a  /organization/organization/headquarters./location/mailing_address/state_province_region  ?b	0.518723994	1	1	374	374	374	-1
?g  /education/educational_institution_campus/educational_institution  ?a  ?g  /organization/organization/headquarters./location/mailing_address/state_province_region  ?b   => ?a  /organization/organization/headquarters./location/mailing_address/state_province_region  ?b	0.509015257	1	1	367	367	367	-1
?a  /base/aareas/schema/administrative_area/capital  ?h  ?b  /location/country/second_level_divisions  ?h   => ?a  /base/biblioness/bibs_location/country  ?b	0.01147541	0.777777778	1	7	9	7	-1
?a  /base/biblioness/bibs_location/country  ?h  ?h  /dataworld/gardening_hint/split_to  ?b   => ?a  /base/biblioness/bibs_location/country  ?b	0.483606557	0.902140673	0.902140673	295	327	327	-1
?a  /base/biblioness/bibs_location/state  ?h  ?h  /location/administrative_division/first_level_division_of  ?b   => ?a  /base/biblioness/bibs_location/country  ?b	0.303278689	0.783898305	1	185	236	185	-1
?h  /base/biblioness/bibs_location/country  ?b  ?a  /base/biblioness/bibs_location/state  ?h   => ?a  /base/biblioness/bibs_location/country  ?b	0.281967213	0.774774775	0.982857143	172	222	175	-1
?a  /base/biblioness/bibs_location/state  ?h  ?h  /location/administrative_division/country  ?b   => ?a  /base/biblioness/bibs_location/country  ?b	0.278688525	0.776255708	0.988372093	170	219	172	-1
?h  /base/aareas/schema/administrative_area/administrative_parent  ?b  ?a  /base/biblioness/bibs_location/state  ?h   => ?a  /base/biblioness/bibs_location/country  ?b	0.275409836	0.760180995	0.98245614	168	221	171	-1
?a  /location/location/contains  ?h  ?h  /organization/organization/headquarters./location/mailing_address/country  ?b   => ?a  /base/biblioness/bibs_location/country  ?b	0.093442623	0.7125	1	57	80	57	-1
?h  /dataworld/gardening_hint/split_to  ?b  ?a  /location/administrative_division/first_level_division_of  ?h   => ?a  /base/biblioness/bibs_location/country  ?b	0.062295082	0.88372093	1	38	43	38	-1
?h  /base/biblioness/bibs_location/country  ?b  ?a  /location/hud_county_place/place  ?h   => ?a  /base/biblioness/bibs_location/country  ?b	0.295081967	1	1	180	180	180	-1
?g  /base/biblioness/bibs_location/country  ?b  ?g  /base/biblioness/bibs_location/state  ?a   => ?a  /base/biblioness/bibs_location/country  ?b	0.106557377	0.82278481	0.955882353	65	79	68	-1
?g  /base/biblioness/bibs_location/country  ?b  ?g  /location/hud_county_place/place  ?a   => ?a  /base/biblioness/bibs_location/country  ?b	0.295081967	1	1	180	180	180	-1
?g  /organization/organization/headquarters./location/mailing_address/country  ?b  ?g  /organization/organization/headquarters./location/mailing_address/state_province_region  ?a   => ?a  /base/biblioness/bibs_location/country  ?b	0.044262295	0.9	1	27	30	27	-1
?a  /business/job_title/people_with_this_title./business/employment_tenure/company  ?h  ?b  /dataworld/gardening_hint/split_to  ?h   => ?a  /business/job_title/people_with_this_title./business/employment_tenure/company  ?b	0.024523161	0.857142857	1	18	21	18	-2
?h  /business/job_title/people_with_this_title./business/employment_tenure/company  ?b  ?a  /dataworld/gardening_hint/split_to  ?h   => ?a  /business/job_title/people_with_this_title./business/employment_tenure/company  ?b	0.119891008	0.830188679	0.830188679	88	106	106	-2
?g  /business/job_title/people_with_this_title./business/employment_tenure/company  ?b  ?g  /dataworld/gardening_hint/split_to  ?a   => ?a  /business/job_title/people_with_this_title./business/employment_tenure/company  ?b	0.119891008	1	1	88	88	88	-2
?a  /business/job_title/people_with_this_title./business/employment_tenure/company  ?g  ?g  /education/educational_institution/campuses  ?b   => ?a  /business/job_title/people_with_this_title./business/employment_tenure/company  ?b	0.163487738	1	1	120	120	120	-2
?a  /business/job_title/people_with_this_title./business/employment_tenure/company  ?h  ?b  /education/educational_institution/campuses  ?h   => ?a  /business/job_title/people_with_this_title./business/employment_tenure/company  ?b	0.163487738	1	1	120	120	120	-2
?a  /business/job_title/people_with_this_title./business/employment_tenure/company  ?g  ?g  /education/educational_institution_campus/educational_institution  ?b   => ?a  /business/job_title/people_with_this_title./business/employment_tenure/company  ?b	0.153950954	1	1	113	113	113	-2
?a  /business/job_title/people_with_this_title./business/employment_tenure/company  ?h  ?b  /education/educational_institution_campus/educational_institution  ?h   => ?a  /business/job_title/people_with_this_title./business/employment_tenure/company  ?b	0.153950954	1	1	113	113	113	-2
?a  /location/hud_county_place/place  ?h  ?h  /sports/sports_team_location/teams  ?b   => ?a  /sports/sports_team_location/teams  ?b	0.253776435	1	1	84	84	84	-2
?a  /location/hud_county_place/county  ?h  ?h  /sports/sports_team_location/teams  ?b   => ?a  /sports/sports_team_location/teams  ?b	0.021148036	1	1	7	7	7	-2
?g  /location/hud_county_place/place  ?a  ?g  /sports/sports_team_location/teams  ?b   => ?a  /sports/sports_team_location/teams  ?b	0.253776435	1	1	84	84	84	-2
?g  /location/us_county/county_seat  ?a  ?g  /sports/sports_team_location/teams  ?b   => ?a  /sports/sports_team_location/teams  ?b	0.01510574	1	1	5	5	5	-2
